Country,Flag,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Croatia,,42,43,46,40.1,36,36.3,38.2,31.6,30.339,28.562,27.403,27.276,25.24863388,23.65753425,21.75068493,20.1936137,18.76666667,20.68082192,19.85356164,17.80205479,16.60333333,16.65726027,16.19863014,14.75917808,14.60196721,15.0,14.91506849
Albania,,11,11,11,10,9.5,9.165753425,6.3,5.575342466,5.656,5.952,6.361,6.717,6.693,7,7.742465753,6.419178082,6,5.328767123,10.84383562,15.51506849,16.83606557,17.00821918,20.50684932,20.16164384,22.74863388,16.0,14.41369863
Czech Republic,,--,2.2,2.5,3,4.3,3.5,3.8,8.460273973,7.766666667,7.169863014,8.268493151,9.673972603,11.32513661,11.51506849,9.501369863,7.41369863,7.412568306,6.504109589,11.58078082,12.42793151,12.635,10.753,13.522,12.61561644,11.06933333,13.960999999999999,13.960999999999999
Guatemala,,4.8,7,8.291780822,9.528767123,12.83060109,16,23.76712329,23,20.68,21.08,17.99452055,21.99452055,19.81147541,17.15342466,21.44465753,18.7178,18.42508197,16.52,11.95318904,10.94536986,12.56369672,12.03759452,12.45278356,12.72793699,12.01470219,13.66575342,13.57534247
Singapore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.3,0.7,2,1,5,15,16.0,15.0,15.0,19.0,18.0,13.356,13.356
Burma (Myanmar),,15,14,14.04246575,9.9,8.2,9.2,11.2,9.7,12.256,10.171,15.2,15.17,20.15,20.187,23.2,21.36164384,21.55293443,18.28493151,20.52876712,20.2,20.2,20.2,19.77534247,15.2,15.2,12.2,11.2
Japan,,20,19,17.61232877,17.8,18.38743169,17.32356164,17.4,16.31780822,18,17.33424658,15.48493151,16,17,18.58082192,19.101,19.90684932,20.57103825,19.14246575,18.90510959,18.10893151,17.37643716,17.28475342,16.04468493,15.54057534,12.21503279,15.05672603,11.14439726
Slovakia,,--,1.3,1.3,1.4,1.6,1.5,1.2,0.9,1,1.7,6.331506849,6.257739726,7.180404372,8.950684932,9.32,4.600547945,6.747868852,3.953424658,9.355,6.69,6.077999999999999,7.9910000000000005,7.888,9.355,8.648,10.665999999999999,10.665999999999999
Chile,,26,26,24.4109589,23.57808219,21.2,14.36684932,13.30410959,12.4309589,10.851,11.695,11.307,11.371,10.58983333,10.24657534,8.401838356,6.440263014,7.092079235,7.683876712,12.9890411,12.92876712,11.90437158,10.63835616,8.742465753,7.260273972999999,5.423497267999999,6.243835616,9.0
Niger,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.712328767,20.0,20.0,20.0,14.0,13.0,11.0,9.0
